;City;Price [PLN];Price/sqr_meter [PLN];Area [m^2];Rooms;Level
7108;Cracow;797000.0;12855.0;62.0;2.0;0.0
7109;Cracow;748071.0;12900.0;57.99;3.0;2.0
7110;Cracow;840000.0;9032.0;93.0;6.0;4.0
7100;Cracow;815000.0;9056.0;90.0;4.0;0.0
7087;Cracow;399000.0;9500.0;42.0;2.0;4.0
7086;Cracow;645000.0;11316.0;57.0;3.0;2.0
7085;Cracow;489000.0;10568.0;46.27;2.0;3.0
7061;Cracow;926000.0;10499.0;88.2;4.0;3.0
7062;Cracow;540000.0;5684.0;95.0;4.0;1.0
7063;Cracow;814500.0;12013.0;67.8;3.0;0.0
7064;Cracow;696490.0;11362.0;61.3;3.0;0.0
7065;Cracow;580000.0;11837.0;49.0;2.0;2.0
7066;Cracow;599999.0;9677.0;62.0;2.0;0.0
7067;Cracow;630000.0;14426.0;43.67;2.0;1.0
7068;Cracow;760000.0;15745.0;48.27;2.0;2.0
7069;Cracow;599000.0;17114.0;35.0;1.0;4.0
7070;Cracow;430000.0;11026.0;39.0;2.0;1.0
7071;Cracow;760000.0;12881.0;59.0;3.0;2.0
7072;Cracow;780000.0;10986.0;71.0;3.0;2.0
7073;Cracow;710000.0;10987.0;64.62;3.0;3.0
7074;Cracow;704000.0;11278.0;62.42;3.0;0.0
7075;Cracow;610000.0;12979.0;47.0;3.0;2.0
7076;Cracow;425000.0;12402.0;34.27;2.0;7.0
7077;Cracow;720000.0;10762.0;66.9;3.0;3.0
7078;Cracow;425000.0;11792.0;36.04;2.0;0.0
7079;Cracow;844260.0;13007.0;64.91;3.0;0.0
7080;Cracow;890000.0;11867.0;75.0;3.0;1.0
7082;Cracow;385000.0;10026.0;38.4;2.0;3.0
7083;Cracow;629000.0;9128.0;68.91;3.0;1.0
7084;Cracow;690000.0;9947.0;69.37;3.0;1.0
7111;Cracow;493500.0;12500.0;39.48;3.0;2.0
7112;Cracow;639000.0;10823.0;59.04;3.0;1.0
7113;Cracow;599999.0;9852.0;60.9;2.0;1.0
7114;Cracow;368000.0;13143.0;28.0;1.0;4.0
7144;Cracow;1472792.93;12168.0;121.04;4.0;10.0
7145;Cracow;1017306.49;11620.0;87.55;4.0;7.0
7146;Cracow;1248604.69;11259.0;110.9;4.0;1.0
7147;Cracow;879000.0;12739.0;69.0;3.0;2.0
7148;Cracow;1298155.12;10743.0;120.84;4.0;5.0
7150;Cracow;599000.0;11745.0;51.0;3.0;2.0
7151;Cracow;931441.14;12716.0;73.25;3.0;7.0
7152;Cracow;1409680.25;11775.0;119.72;4.0;5.0
7153;Cracow;899322.48;12277.0;73.25;3.0;3.0
7154;Cracow;479000.0;10002.0;47.89;2.0;0.0
7155;Cracow;1026903.72;11729.0;87.55;4.0;8.0
7156;Cracow;923411.48;12606.0;73.25;3.0;6.0
7157;Cracow;998112.02;11400.0;87.55;4.0;5.0
7158;Cracow;710000.0;15084.0;47.07;2.0;6.0
7159;Cracow;920000.0;12399.0;74.2;3.0;3.0
7160;Cracow;419000.0;11870.0;35.3;1.0;3.0
7161;Cracow;579669.0;9300.0;62.33;3.0;0.0
7162;Cracow;650130.0;11129.0;58.42;2.0;3.0
7163;Cracow;798941.0;10080.0;79.26;3.0;0.0
7164;Cracow;402098.0;13875.0;28.98;1.0;5.0
7165;Cracow;719000.0;10452.0;68.79;4.0;3.0
7166;Cracow;459648.0;13300.0;34.56;1.0;0.0
7167;Cracow;458640.0;9800.0;46.8;2.0;0.0
7143;Cracow;1324648.08;10962.0;120.84;4.0;7.0
7169;Cracow;335000.0;13596.0;24.64;1.0;4.0
7142;Cracow;1432277.28;11839.0;120.98;4.0;9.0
7139;Cracow;685000.0;13700.0;50.0;2.0;4.0
7115;Cracow;894000.0;19435.0;46.0;2.0;1.0
7116;Cracow;585090.0;11000.0;53.19;3.0;3.0
7117;Cracow;494375.0;12500.0;39.55;2.0;3.0
7118;Cracow;860000.0;11717.0;73.4;3.0;0.0
7119;Cracow;645134.0;9800.0;65.83;3.0;0.0
7120;Cracow;299000.0;15101.0;19.8;1.0;2.0
7121;Cracow;490000.0;12250.0;40.0;2.0;5.0
7122;Cracow;420000.0;16471.0;25.5;1.0;0.0
7123;Cracow;469000.0;10196.0;46.0;2.0;1.0
7124;Cracow;435000.0;10610.0;41.0;2.0;2.0
7125;Cracow;440000.0;10476.0;42.0;2.0;2.0
7126;Cracow;485000.0;9700.0;50.0;2.0;3.0
7127;Cracow;699000.0;9497.0;73.6;3.0;0.0
7128;Cracow;555000.0;11012.0;50.4;2.0;0.0
7130;Cracow;695000.0;11983.0;58.0;3.0;3.0
7131;Cracow;678000.0;13837.0;49.0;2.0;3.0
7132;Cracow;790000.0;12951.0;61.0;3.0;6.0
7133;Cracow;647000.0;15579.0;41.53;2.0;0.0
7134;Cracow;599000.0;11980.0;50.0;3.0;0.0
7135;Cracow;499000.0;12024.0;41.5;3.0;1.0
7136;Cracow;429000.0;12753.0;33.64;1.0;5.0
